<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 20600 ns,,1,0,0,0,01100101,,0:0,0:0,--------:01100101
SUCCESS at 20700 ns,,0,0,1,0,--------,,0:0,0:0,01100101:01100101
SUCCESS at 20800 ns,,1,0,0,0,01100110,,0:0,0:0,--------:01100110
SUCCESS at 20900 ns,,0,0,1,0,--------,,0:0,0:0,01100110:01100110
SUCCESS at 21000 ns,,1,0,0,0,01100111,,0:0,0:0,--------:01100111
SUCCESS at 21100 ns,,0,0,1,0,--------,,0:0,0:0,01100111:01100111
SUCCESS at 21200 ns,,1,0,0,0,01101000,,0:0,0:0,--------:01101000
SUCCESS at 21300 ns,,0,0,1,0,--------,,0:0,0:0,01101000:01101000
SUCCESS at 21400 ns,,1,0,0,0,01101001,,0:0,0:0,--------:01101001
SUCCESS at 21500 ns,,0,0,1,0,--------,,0:0,0:0,01101001:01101001
SUCCESS at 21600 ns,,1,0,0,0,01101010,,0:0,0:0,--------:01101010
SUCCESS at 21700 ns,,0,0,1,0,--------,,0:0,0:0,01101010:01101010
SUCCESS at 21800 ns,,1,0,0,0,01101011,,0:0,0:0,--------:01101011
SUCCESS at 21900 ns,,0,0,1,0,--------,,0:0,0:0,01101011:01101011
SUCCESS at 22000 ns,,1,0,0,0,01101100,,0:0,0:0,--------:01101100
SUCCESS at 22100 ns,,0,0,1,0,--------,,0:0,0:0,01101100:01101100
SUCCESS at 22200 ns,,1,0,0,0,01101101,,0:0,0:0,--------:01101101
SUCCESS at 22300 ns,,0,0,1,0,--------,,0:0,0:0,01101101:01101101
SUCCESS at 22400 ns,,1,0,0,0,01101110,,0:0,0:0,--------:01101110
SUCCESS at 22500 ns,,0,0,1,0,--------,,0:0,0:0,01101110:01101110
SUCCESS at 22600 ns,,1,0,0,0,01101111,,0:0,0:0,--------:01101111
SUCCESS at 22700 ns,,0,0,1,0,--------,,0:0,0:0,01101111:01101111
SUCCESS at 22800 ns,,1,0,0,0,01110000,,0:0,0:0,--------:01110000
SUCCESS at 22900 ns,,0,0,1,0,--------,,0:0,0:0,01110000:01110000
SUCCESS at 23000 ns,,1,0,0,0,01110001,,0:0,0:0,--------:01110001
SUCCESS at 23100 ns,,0,0,1,0,--------,,0:0,0:0,01110001:01110001
SUCCESS at 23200 ns,,1,0,0,0,01110010,,0:0,0:0,--------:01110010
SUCCESS at 23300 ns,,0,0,1,0,--------,,0:0,0:0,01110010:01110010
SUCCESS at 23400 ns,,1,0,0,0,01110011,,0:0,0:0,--------:01110011
SUCCESS at 23500 ns,,0,0,1,0,--------,,0:0,0:0,01110011:01110011
SUCCESS at 23600 ns,,1,0,0,0,01110100,,0:0,0:0,--------:01110100
SUCCESS at 23700 ns,,0,0,1,0,--------,,0:0,0:0,01110100:01110100
SUCCESS at 23800 ns,,1,0,0,0,01110101,,0:0,0:0,--------:01110101
SUCCESS at 23900 ns,,0,0,1,0,--------,,0:0,0:0,01110101:01110101
SUCCESS at 24000 ns,,1,0,0,0,01110110,,0:0,0:0,--------:01110110
SUCCESS at 24100 ns,,0,0,1,0,--------,,0:0,0:0,01110110:01110110
SUCCESS at 24200 ns,,1,0,0,0,01110111,,0:0,0:0,--------:01110111
SUCCESS at 24300 ns,,0,0,1,0,--------,,0:0,0:0,01110111:01110111
SUCCESS at 24400 ns,,1,0,0,0,01111000,,0:0,0:0,--------:01111000
SUCCESS at 24500 ns,,0,0,1,0,--------,,0:0,0:0,01111000:01111000
SUCCESS at 24600 ns,,1,0,0,0,01111001,,0:0,0:0,--------:01111001
SUCCESS at 24700 ns,,0,0,1,0,--------,,0:0,0:0,01111001:01111001
SUCCESS at 24800 ns,,1,0,0,0,01111010,,0:0,0:0,--------:01111010
SUCCESS at 24900 ns,,0,0,1,0,--------,,0:0,0:0,01111010:01111010
SUCCESS at 25000 ns,,1,0,0,0,01111011,,0:0,0:0,--------:01111011
SUCCESS at 25100 ns,,0,0,1,0,--------,,0:0,0:0,01111011:01111011
SUCCESS at 25200 ns,,1,0,0,0,01111100,,0:0,0:0,--------:01111100
SUCCESS at 25300 ns,,0,0,1,0,--------,,0:0,0:0,01111100:01111100
SUCCESS at 25400 ns,,1,0,0,0,01111101,,0:0,0:0,--------:01111101
SUCCESS at 25500 ns,,0,0,1,0,--------,,0:0,0:0,01111101:01111101
SUCCESS at 25600 ns,,1,0,0,0,01111110,,0:0,0:0,--------:01111110
SUCCESS at 25700 ns,,0,0,1,0,--------,,0:0,0:0,01111110:01111110
SUCCESS at 25800 ns,,1,0,0,0,01111111,,0:0,0:0,--------:01111111
SUCCESS at 25900 ns,,0,0,1,0,--------,,0:0,0:0,01111111:01111111
SUCCESS at 26000 ns,,1,0,0,0,10000000,,0:0,0:0,--------:10000000
